departamento,codigodanedepartamento,municipio,codigodanemunicipio,ano,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje,areaspeligrosas,areaspeligrosasconfirmadas
TOLIMA,73,PLANADAS,73555,2018,5,Comunidades,14637,1,8,3,12,BRDEH,0,0,1,0,0
ANTIOQUIA,5,ARGELIA,5055,2020,4,Comunidades,2212,8,0,0,8,HALO,0,0,1,0,0
ANTIOQUIA,5,SAN LUIS,5660,2017,4,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
CAQUETA,18,FLORENCIA,18001,2023,4,Comunidades,42933,2,0,0,2,BRDEH,0,0,2,0,0
TOLIMA,73,CAJAMARCA,73124,2020,9,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
HUILA,41,TELLO,41799,2017,12,Comunidades,0,0,0,0,0,BRDEH,0,0,0,3,0
CAUCA,19,INZÁ,19355,2022,2,Comunidades,2525,0,0,0,0,HI,0,0,2,0,0
BOLIVAR,13,MONTECRISTO,13458,2023,7,Comunidades,0,0,0,0,0,DRC,0,0,0,2,2
META,50,VISTAHERMOSA,50711,2022,1,Comunidades,0,0,0,0,0,HI,0,0,0,0,0
ANTIOQUIA,5,ANGOSTURA,5038,2022,12,Comunidades,0,0,0,0,0,HALO,5,0,0,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2018,9,Comunidades,0,0,0,0,0,HALO,0,0,0,1,1
ANTIOQUIA,5,ARGELIA,5055,2019,8,Comunidades,0,0,0,0,0,HALO,0,0,0,2,1
ANTIOQUIA,5,ABEJORRAL,5002,2015,10,Comunidades,0,0,0,0,0,HALO,10,0,0,0,0
CAQUETA,18,MONTAÑITA,18410,2018,4,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
ANTIOQUIA,5,SANTA FE ANTIOQUIA,5042,2021,10,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
ANTIOQUIA,5,ARGELIA,5055,2021,7,Comunidades,0,0,0,0,0,HALO,1,0,0,0,0
NORTE DE SANTANDER,54,TOLEDO,54820,2008,11,Bases Militares,11013.7,33,5,0,38,BRDEH,0,0,1,0,0
ANTIOQUIA,5,COCORNÁ,5197,2016,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,1
SANTANDER,68,SUCRE,68773,2019,4,Comunidades,0,0,0,0,0,BRDEH,4,0,0,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2017,11,Comunidades,0,0,0,0,0,HALO,0,0,0,0,4
META,50,SAN JUAN DE ARAMA,50683,2016,5,Comunidades,0,0,0,0,0,HALO,0,0,0,0,2
CAUCA,19,MIRANDA,19455,2017,9,Comunidades,0,0,0,0,0,HALO,3,0,0,0,0
META,50,VISTAHERMOSA,50711,2017,6,Comunidades,0,3,2,0,5,BRDEH,1,0,0,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2011,10,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
PUTUMAYO,86,MOCOA,86001,2018,5,Comunidades,0,0,0,0,0,BRDEH,7,0,0,0,0
SANTANDER,68,EL CARMEN,68235,2016,6,Comunidades,0,1,0,0,1,BRDEH,1,0,0,0,0
ANTIOQUIA,5,ANORÍ,5040,2022,9,Comunidades,0,0,0,0,0,HALO,1,0,0,0,0
ANTIOQUIA,5,SAN CARLOS,5649,2011,10,Comunidades,5666,7,1,0,8,BRDEH,19,1,2,0,0
TOLIMA,73,LÍBANO,73411,2018,2,Comunidades,0,0,0,0,0,BRDEH,8,0,0,0,0
PUTUMAYO,86,MOCOA,86001,2018,2,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
HUILA,41,TELLO,41799,2018,7,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
ANTIOQUIA,5,NARIÑO,5483,2015,5,Comunidades,0,0,0,0,0,HALO,0,0,0,1,0
SANTANDER,68,SURATÁ,68780,2022,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
TOLIMA,73,ROVIRA,73624,2021,3,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
ANTIOQUIA,5,ARGELIA,5055,2021,11,Comunidades,0,0,0,0,0,HALO,0,0,0,0,2
HUILA,41,TELLO,41799,2019,4,Comunidades,4729,0,0,0,0,BRDEH,4,1,0,0,0
SANTANDER,68,SIMACOTA,68745,2019,6,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
VALLE DEL CAUCA,76,PRADERA,76563,2020,5,Comunidades,13278,1,0,0,1,BRDEH,0,0,2,0,0
ANTIOQUIA,5,SAN RAFAEL,5667,2016,11,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
ANTIOQUIA,5,NARIÑO,5483,2022,11,Comunidades,0,1,0,0,1,HALO,1,0,0,0,0
META,50,SAN JUAN DE ARAMA,50683,2019,3,Comunidades,0,0,0,0,0,HALO,2,0,0,0,0
CAQUETA,18,FLORENCIA,18001,2021,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0,3,1
ANTIOQUIA,5,SONSÓN,5756,2021,3,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
CAQUETA,18,MONTAÑITA,18410,2021,10,Comunidades,0,0,0,0,0,HUMANICEMOS,0,0,0,0,1
ANTIOQUIA,5,DABEIBA,5234,2022,6,Comunidades,0,0,1,0,1,CCCM,1,0,0,0,0
ANTIOQUIA,5,ITUANGO,5361,2019,2,Comunidades,7802,0,0,0,0,BRDEH,0,1,1,0,0
SANTANDER,68,SURATÁ,68780,2018,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
CAUCA,19,SANTANDER DE QUILICHAO,19698,2021,10,Comunidades,0,0,0,0,0,HI,0,0,0,0,1
META,50,EL DORADO,50270,2010,4,Comunidades,1545,8,0,0,8,BRDEH,1,1,1,0,0
TOLIMA,73,ATACO,73067,2017,4,Comunidades,0,0,0,0,0,HALO,23,0,0,0,0
PUTUMAYO,86,ORITO,86320,2019,7,Comunidades,0,0,0,0,0,BRDEH,7,0,0,0,0
TOLIMA,73,PLANADAS,73555,2019,1,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
TOLIMA,73,PLANADAS,73555,2018,10,Comunidades,3198,1,0,0,1,BRDEH,1,1,0,0,0
TOLIMA,73,SAN ANTONIO,73675,2018,3,Comunidades,0,0,0,0,0,BRDEH,27,0,0,0,0
TOLIMA,73,PLANADAS,73555,2018,12,Comunidades,3552,0,1,0,1,HALO,1,0,1,0,0
ANTIOQUIA,5,SAN LUIS,5660,2020,3,Comunidades,14550,3,0,0,3,BRDEH,0,0,1,0,0
CESAR,20,MANAURE BALCÓN DEL CESAR,20443,2021,5,Comunidades,0,0,2,0,2,BRDEH,1,0,0,0,0
CAQUETA,18,MONTAÑITA,18410,2021,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,0
CALDAS,17,SAMANÁ,17662,2019,4,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
CAQUETA,18,SAN JOSÉ DEL FRAGUA,18610,2018,7,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
ANTIOQUIA,5,SABANALARGA,5628,2017,7,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
